Название продукта,Категория продукта,Подкатегория продукта,Цена продукта,Город,Ссылка на продукт,Статус
Plaza Del Sol Перец Пикильо с тунцом 225 гр,АНТИПАСТИ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/plaza-del-sol/plaza-del-sol-perec-pikilo-s-tuncom-225-gr/,Нет статуса
Plaza Del Sol Фасоль сливочная вареная 540 гр,АНТИПАСТИ,,1 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/plaza-del-sol/plaza-del-sol-fasol-slivochnaya-varenaya-540-gr/,Нет статуса
Plaza Del Sol Фасоль белая вареная 540 гр,АНТИПАСТИ,,1 700 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/plaza-del-sol/plaza-del-sol-fasol-belaya-varenaya-540-gr/,Нет статуса
Артишоки со стеблями Alla Romana Le Bonta 3100 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-so-steblyami-alla-romana-3100-ml/,Новинка
Артишоки четвертинки Paesana Le Bonta 3100 мл.,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-chetvertinki-paesana-le-bonta-3100-ml/,Новинка
Артишоки со стеблями на гриле Alla Romana Le Bonta 3100 мл,АНТИПАСТИ,,24 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-so-steblyami-na-grile-alla-romana-le-bonta-3100-ml/,Нет статуса
Le Bonta Артишоки четвертинка Paesana 314 мл,АНТИПАСТИ,,4 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/artishoki/le-bonta-artishoki-chetvertinka-paesana-314-ml/,Нет статуса
Le Bonta Артишоки сердцевина в рассоле ж/б 2650 мл,АНТИПАСТИ,,12 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/le-bonta-artishoki-serdcevina-v-rassole-zhb-2650-ml/,Нет статуса
Артишоки со стеблями alla PugLiese ж/б Le Bonta 2650 мл,АНТИПАСТИ,,16 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-so-steblyami-alla-pugliese-zhb-le-bonta-2650-ml/,Нет статуса
Alicos Артишоки Нонна Пеппа-банка 190 гр,АНТИПАСТИ,,3 600 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/artishoki/alicos-artishoki-nonna-peppa-banka-190-gr/,Нет статуса
Casa Marrazzo Артишоки со стеблями на гриле в масле 750 гр,АНТИПАСТИ,,7 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/casa-marrazzo/casa-marrazzo-artishoki-so-steblyami-na-grile-v-masle-750-gr/,Нет статуса
Le Bonta Артишоки сердцевина 3100 мл,АНТИПАСТИ,,24 000 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/artishoki/le-bonta-artishoki-serdcevina-3100-ml/,Нет статуса
Артишоки четвертинка в рассоле ж/б Le Bonta 2650 мл,АНТИПАСТИ,,12 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/artishoki-chetvertinka-v-rassole-zhb-le-bonta-2650-ml/,Нет статуса
Каперсы на веточке Le Bonta 314 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/kapersy-na-vetochke-le-bonta-314-ml/,Новинка
Каперсы в соли Le Bonta 212 мл,АНТИПАСТИ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/antipasti/antipasti-le-bonta/kapersy-v-soli-le-bonta-212-ml/,Новинка
Plaza Del Sol Каперсы в уксусе 110 гр,АНТИПАСТИ,,1 300 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/plaza-del-sol/plaza-del-sol-kapersy-v-uksuse-110-gr/,Нет статуса
Le Bonta Каперсы в уксусе 1700 мл,АНТИПАСТИ,,10 800 Т,Алматы,https://kingfisher.kz/bakaleya/antipasti/kapersy/le-bonta-kapersy-v-uksuse-1700-ml/,Нет статуса
Маринованное Филе Анчоуса Medusa 200 гр,АНТИПАСТИ,,3 990 Т,Алматы,https://kingfisher.kz/ryba/konservy/delikatesy/marinovannoe-file-anchousa-medusa/,Нет статуса
Филе сардин Medusa 1000 гр,АНТИПАСТИ,,17 500 Т,Алматы,https://kingfisher.kz/ryba/konservy/delikatesy/medusa-file-sardin-1000-gr/,Нет статуса
Medusa салат из морепродуктов 200 гр,АНТИПАСТИ,,3 990 Т,Алматы,https://kingfisher.kz/antipasti/antipasti-medusa/medusa-salat-iz-moreproduktov-200-gr/,Нет статуса
Medusa Сурими с королевскими креветками 1 кг,АНТИПАСТИ,,12 800 Т,Алматы,https://kingfisher.kz/antipasti/antipasti-medusa/medusa-surimi-s-korolevskimi-krevetkami-1-kg/,Нет статуса
Сальса из черного трюфеля Salsa Nero Tartuffi 90 гр,БАКАЛЕЯ,,7 500 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/salsa-iz-chernogo-tryufelya-salsa-nero-tartuffi-90-gr/,Нет статуса
Сальса из Черного трюфеля Tartuffi 45 гр,БАКАЛЕЯ,,5 800 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/salsa-sous-iz-chernogo-tryufelya/,Нет статуса
Сальса из Черного трюфеля Tartuffi 190 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/tryufel/tryufelniy-sous-salsa-nero-tartufi-organic-190-gr/,Новинка
"Соль морская с Трюфелем Carmencita, 360 гр",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-morskaya-s-tryufelem-carmencita-360-gr/,Новинка
Трюфель черный целый в рассоле Tartuffi 50 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/tryufel/tryufel-cherniy-celiy-v-rassole-whole-black-truffle-in-brine/,Новинка
Ломтики черного трюфеля в рассоле Truffle slices Organic 90 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/tryufel/lomtiki-chernogo-tryufelya-v-rassole-truffle-slices-organic/,Новинка
Трюфель Черный целый в рассоле 100 гр,БАКАЛЕЯ,,17 500 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/tryufel-cherniy-celiy-v-rassole-100-gr/,Нет статуса
Tartuffi Трюфельная паста соус 90 гр органик,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/tryufel/tryufelnaya-pasta-sous-organic-90-gr/,Новинка
Tartuffi Измельченный черный трюфель 90 гр,БАКАЛЕЯ,,9 500 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/tartuffi-izmelchenniy-cherniy-tryufel-90-gr/,Нет статуса
Tartuffi Измельченный черный трюфель 45 гр,БАКАЛЕЯ,,6 800 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/tartuffi-izmelchenniy-cherniy-tryufel-45-gr/,Нет статуса
Tartuffi Ломтики черного трюфеля в рассоле 45 гр,БАКАЛЕЯ,,7 500 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/tartuffi-lomtiki-chernogo-tryufelya-v-rassole-45-gr/,Нет статуса
Tartuffi Ломтики черного трюфеля в рассоле 90 гр,БАКАЛЕЯ,,13 500 Т,Алматы,https://kingfisher.kz/bakaleya/tryufel/tartuffi-lomtiki-chernogo-tryufelya-v-rassole-90-gr/,Нет статуса
Приправа Гималайская и Три вида перца горошек 312 гр мельница Carmencita,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-rozovaya-i-3-vida-perca-goroshkom-carmencita/,Новинка
4 Перца горошком микс Carmencita 145 гр мельница,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/perec-goroshkom-mix-4-perca/,Новинка
Carmencita Приправа Средиземнорский микс 190 гр мельница (216 гр),БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-sredizemnorskiy-miks-carmencita/,Новинка
"Соль морская с Трюфелем Carmencita, 360 гр",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-morskaya-s-tryufelem-carmencita-360-gr/,Новинка
Carmencita Соль морская и Прованские травы 308 г,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-sredizemnomorskaya/,Новинка
Приправа для паэльи Paellero с шафраном Carmencita 20 гр,БАКАЛЕЯ,,1 600 Т,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-dlya-paeli-s-shafranom-carmencita/,Нет статуса
Carmencita Соль Розовая Гималайская Йодированная 370 гр,БАКАЛЕЯ,,3 800 Т,Алматы,https://kingfisher.kz/bakaleya/specii/sol-rozovaya-carmencita-370-gr/,Нет статуса
Carmencita Приправа Иберийский микс 66 гр мельница,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-iberiyskiy-miks-dlya-myasa-carmencita/,Новинка
Черный перец Горошек 190 гр Carmencita,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/cherniy-perec-goroshek-s-melnicey-190-gr-carmencita/,Новинка
Carmencita 4 перца горошком микс 40 гр мельница,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/specii/perec-goroshkom-mix-4-perca-40-gr-carmencita/,Нет статуса
Carmencita Соль Средиземноморская с шафраном 360 г мельница,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-morskaya-s-shafranom-360-gr/,Новинка
Приправа для паэльи Valenciana Carmencita 12 гр,БАКАЛЕЯ,,1 600 Т,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-dlya-paeli-valenciana-carmencita-12-gr/,Нет статуса
Приправа для Паэльи Carmencita 65 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-paelya-carmencita/,Новинка
"Чеснок сушеный измельченный, Carmencita 55 г",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/chesnok-susheniy-izmelchenniy-carmencita/,Новинка
Перец Каенский Чили цельный Carmencita 18 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/perec-kayenskiy-celiy-carmencita/,Новинка
Приправа для макарон и пиццы Carmencita 68 г,БАКАЛЕЯ,,2 400 Т,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-dlya-makaron-i-piccy-carmencita/,Нет статуса
Перец Кайенский Чили молотый Carmencita 43 гр,БАКАЛЕЯ,,1 100 Т,Алматы,https://kingfisher.kz/bakaleya/specii/perec-kayenskiy-molotiy-carmencita/,Нет статуса
Семена Кунжута Carmencita 55 г,БАКАЛЕЯ,,750 Т,Алматы,https://kingfisher.kz/bakaleya/specii/semena-kunzhuta-carmencita/,Нет статуса
Тимьян сушеный Carmencita 22 гр,БАКАЛЕЯ,,1 100 Т,Алматы,https://kingfisher.kz/bakaleya/specii/timyan-susheniy-carmencita/,Нет статуса
Приправа паприка сладкая Carmencita 75 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-paprika-sladkaya-carmencita/,Новинка
Соль Гималайская с перцем горошком Carmencita 97 г,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-gimalayskaya-s-percem-goroshkom-carmencita/,Новинка
Carmencita Приправа паприка пикантная 75 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-paprika-pikantnaya-carmencita/,Новинка
Корица Молотая Carmencita 43 г,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/korica-molotaya-carmencita/,Новинка
Соль Средиземноморская с шафраном Carmencita 110 г,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-morskaya-s-shafranom-carmencita/,Новинка
Carmencita Приправа Орегано листовой 12 гр мельница,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprav-oregano-listovoy-carmencita/,Новинка
"Кардамон целый, Carmencita 30 г",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/kardamon-celiy-carmencita/,Новинка
Carmencita Приправа Куркума молотая 48 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-kurkuma-molotaya-carmencita/,Новинка
Перец Белый горошком Carmencita 55 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/perec-beliy-goroshkom-carmencita/,Новинка
"Carmencita Черный перец горошек и морская соль, мельница 225 г",БАКАЛЕЯ,,4 600 Т,Алматы,https://kingfisher.kz/bakaleya/specii/carmencia-cherniy-perec-goroshek-i-morskaya-sol-melnica-225-g/,Нет статуса
Эстрагон (Tarragon) сушеный Carmencita,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/estragon-tarragon-susheniy-carmencita/,Новинка
Набор черный перец горошек Carmencita 35 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/perec-cherniy-goroh-carmencita/,Новинка
Carmencita Соль Средиземноморская с горчицей и перцем 99 г,БАКАЛЕЯ,,2 400 Т,Алматы,https://kingfisher.kz/bakaleya/specii/sol-morskaya-s-gorchicey-i-percem-carmencita/,Нет статуса
Carmencita Перец зеленый 30 гр мельница,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/perec-zeleniy-goroshkom-carmencita/,Новинка
Соль Гималайская черная 100 г мельница Carmencita,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/sol-gimalayskaya-chernaya-carmencita/,Новинка
Шафрановый порошок в саше Carmencita,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/shafranoviy-poroshok-v-sashe-carmencita/,Новинка
Семена Тмина Carmencita 42 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/semena-tmina-carmencita/,Новинка
Семена Тмина молотые Carmencita 47 гр,БАКАЛЕЯ,,1 500 Т,Алматы,https://kingfisher.kz/bakaleya/specii/semena-tmina-molotye-carmencita/,Нет статуса
Приправа для овощного карри Carmencita 68 г,БАКАЛЕЯ,,2 400 Т,Алматы,https://kingfisher.kz/bakaleya/specii/priprava-karri-s-melnicey-carmencita/,Нет статуса
Carmencita Корица цейлонская палочки 80 гр,БАКАЛЕЯ,,4 600 Т,Алматы,https://kingfisher.kz/bakaleya/specii/carmencita-korica-ceylonskaya-palochki-80-gr/,Нет статуса
Carmencita Корица цейлонская палочки 170 гр,БАКАЛЕЯ,,8 600 Т,Алматы,https://kingfisher.kz/bakaleya/specii/carmencita-korica-ceylonskaya-palochki-170-gr/,Нет статуса
Carmencita Корица цейлонская 5 палочек,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/specii/korica-ceylonskaya-palochkami/,Новинка
"Carmencita Перец Черный горошек и морская соль, мельница 65 г",БАКАЛЕЯ,,2 400 Т,Алматы,https://kingfisher.kz/bakaleya/specii/morskaya-sol-i-cherniy-perec-goroshkom-carmencita/,Нет статуса
Carmencita Сахарозаменитель 60 саше,БАКАЛЕЯ,,1 200 Т,Алматы,https://kingfisher.kz/bakaleya/specii/carmencita-saharozamenitel-60-sashe/,Нет статуса
Carmencita Приправа Семена Тмина 42 гр мельница Цельное зерно,БАКАЛЕЯ,,1 500 Т,Алматы,https://kingfisher.kz/bakaleya/specii/semena-tmina-s-melnicey-carmencita/,Нет статуса
Carmencita Ваниль стручки 10 шт,БАКАЛЕЯ,,22 000 Т,Алматы,https://kingfisher.kz/bakaleya/specii/carmencita-vanil-struchki-10-sht/,Нет статуса
Carmencita Соль Средиземноморская Йодированная 360 гр,БАКАЛЕЯ,,3 500 Т,Алматы,https://kingfisher.kz/bakaleya/specii/carmencita-sol-sredizemnomorskaya-yodirovannaya-360-gr/,Нет статуса
"Бальзамический Крем с Малиной, Giuseppe Giusti, 150 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-krem-s-malinoy-giuseppe-giusti-150-ml/,Новинка
Бальзамический Крем Соус с Черным Трюфелем 150 мл.,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-krem-sous-s-chernym-tryufelem-150-ml/,Новинка
Бальзамический Крем с Инжиром 150 мл.,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-krem-s-inzhirom-150-ml/,Новинка
Бальзамический Крем с грибами 150 мл.,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-krem-s-gribami-150-ml/,Новинка
Бальзамический Уксус Giuseppe Giusti 250 мл.,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-250-ml/,Новинка
Бальзамический уксус Giuseppe Giusti Modena 100 мл.,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-modena-100-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti IGP 3 медали, 100 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-igp-3-medali-100-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti ""Quatro Centenfrio"" 4 звезды, 100 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-quatro-centenfrio-igp-100-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti IGP 3 медали, куб 250 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiyy-uksus-giuseppe-giusti-igp-3-medali-250-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti ""Бианка"", 250 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-bianka-250-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti 2 медали, 250 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-2-medali-250-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti IGP 3 медали, 250 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-igp-3-medali-250-ml/,Новинка
"Бальзамический Уксус Giuseppe Giusti 2 медали, 100 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-2-medali-100-ml/,Новинка
Barbera Бальзамический белый винный уксус 250 мл,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/balzamik/balzamicheskiy-uksus-barbera/barbera-organicheskiy-beliy-vinniy-uksus-250-ml/,Нет статуса
Barbera Бальзамический красный винный уксус 250 мл,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/balzamik/balzamicheskiy-uksus-barbera/barbera-organicheskiy-krasniy-vinniy-uksus-250-ml/,Нет статуса
"Бальзамический Уксус Giuseppe Giusti ""Quatro Centenfrio"" IGP, 250 мл.",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiy-uksus-giuseppe-giusti-quatro-centenfrio-igp-250-ml/,Новинка
Бальзамический Уксус Giuseppe Giusti 250 мл. (куб),БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/balzamik/giuseppe-giusti/balzamicheskiyy-uksus-giuseppe-giusti-250-ml/,Новинка
Umami Итальянский Бальзамический Уксус Гранатовый 250 мл,БАКАЛЕЯ,,5 590 Т,Алматы,https://kingfisher.kz/bakaleya/balzamik/balzamik-umami/umami-italyanskiy-balzamicheskiy-uksus-granatoviy-250-ml/,Нет статуса
Umami Итальянский Бальзамический Уксус с Томатами 250 мл,БАКАЛЕЯ,,5 590 Т,Алматы,https://kingfisher.kz/bakaleya/balzamik/balzamik-umami/umami-italyanskiy-balzamicheskiy-uksus-s-tomatami-250-ml/,Нет статуса
Спагетти с чернилами каракатицы Le Bonta 500 гр,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/spagetti-s-chernilami-karakaticy-le-bonta/,Новинка
Le Bonta Паста Orecchiette пять вкусов 500 гр,БАКАЛЕЯ,,3 000 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/le-bonta-pasta-orecchiette-pyat-vkusov-500-gr/,Нет статуса
Le Bonta Паста Orecchiette три цвета 500 гр,БАКАЛЕЯ,,3 000 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/le-bonta-pasta-orecchiette-tri-cveta-500-gr/,Нет статуса
Alicos Паста Бузиата из пшеницы твердых сортов 500 гр,БАКАЛЕЯ,,2 800 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/pasta-alicos/alicos-pasta-buziata-iz-pshenicy-tverdyh-sortov-500-gr/,Нет статуса
Le Bonta Паста Лингвини со вкусом грибов 250 гр,БАКАЛЕЯ,,3 000 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/le-bonta-pasta-lingvini-so-vkusom-gribov-250-gr/,Нет статуса
Le Bonta Паста Лингвини со вкусом апельсина 250 гр,БАКАЛЕЯ,,3 000 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/le-bonta-pasta-lingvini-so-vkusom-apelsina-250-gr/,Нет статуса
Tartuffi Тальяттеле с белым трюфелем 250 гр,БАКАЛЕЯ,,4 200 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/tartuffi-talyattele-s-belym-tryufelem-250-gr/,Нет статуса
Tartuffi Странгоцци с трюфелем 250 гр,БАКАЛЕЯ,,4 200 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/tartuffi-strangocci-s-tryufelem-250-gr/,Нет статуса
Le Bonta Паста Лингвини со вкусом лимона 250 гр,БАКАЛЕЯ,,3 000 Т,Алматы,https://kingfisher.kz/bakaleya/makarony/italyanskaya-kuhnya/le-bonta-pasta-lingvini-so-vkusom-limona-250-gr/,Нет статуса
MoleCola классик 330 мл,БАКАЛЕЯ,,1 100 Т,Алматы,https://kingfisher.kz/bakaleya/napitki/gazirovannye-napitki/molecola-klassik-330-ml/,Нет статуса
MoleCola классик 750 мл,БАКАЛЕЯ,,1 950 Т,Алматы,https://kingfisher.kz/bakaleya/napitki/gazirovannye-napitki/molecola-klassik-750-ml/,Нет статуса
MoleCola без сахара 330 мл,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/napitki/gazirovannye-napitki/molecola-bez-sahara-330-ml/,Новинка
Кокосовое Молоко Aroy-D 400 мл,БАКАЛЕЯ,,2 200 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/kokosovoe-moloko-maslo-slivki/kokosovoe-moloko-metall-aroy-d/,Нет статуса
Том Ям Паста Aroy-D 400 гр,БАКАЛЕЯ,,3 600 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/tom-yam-pasta-real-thai/,Нет статуса
Ореховая Заправка Sen Soy 40 гр,БАКАЛЕЯ,,590 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/orehovaya-zapravka-sen-soy/,Нет статуса
Кокосовое Молоко AROY-D 1L,БАКАЛЕЯ,,4 500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/kokosovoe-moloko-maslo-slivki/kokosovoe-moloko-aroy-d/,Нет статуса
Aroy-D Кокосовое Молоко 250 мл тетра пак,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/kokosovoe-moloko-maslo-slivki/kokosovoe-moloko-aroy-d-250-ml/,Новинка
"Кокосовое Молоко Aroy-D, 500 мл",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/kokosovoe-moloko-maslo-slivki/kokosovoe-moloko-aroy-d-500-ml/,Новинка
Соус Терияки SEN SOY,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/sous-teriyaki-sen-soy/,Нет статуса
Соус Терияки SEN SOY сладкий,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/sous-teriyaki-sen-soy-sladkiy/,Нет статуса
Цитрусовая заправка SEN SOY,БАКАЛЕЯ,,590 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/citrusovaya-zapravka-sen-soy/,Нет статуса
Соус Хрен-васаби Sen Soy,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/sous-hren-vasabi-sen-soy/,Нет статуса
Рисовая Мука AROY-D,БАКАЛЕЯ,,1 500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/funcheza-lapsha/risovaya-muka-aroy-d/,Нет статуса
"Соус Паста Том Ям Aroy-D, 1 кг",БАКАЛЕЯ,,7 200 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/sous-pasta-tom-yam-aroy-d-1-kg/,Нет статуса
"Кокосовое Масло Aroy-D, 180 мл",БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/maslo/kokosovoe-maslo/kokosovoe-maslo-aroy-d-180-ml/,Новинка
Соус Шрирача Uni Eagie 475 gr,БАКАЛЕЯ,,Новинка,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/sous-shriracha-uni-eagie-475-gr/,Новинка
Семена Кунжута Carmencita 55 г,БАКАЛЕЯ,,750 Т,Алматы,https://kingfisher.kz/bakaleya/specii/semena-kunzhuta-carmencita/,Нет статуса
Уксус красный Pearl River Bridge 500 мл,БАКАЛЕЯ,,500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/pearl-river-bridge-uksus-krasniy-0-5l-stb/,Нет статуса
Устричный соус высшей категории 148 гр,БАКАЛЕЯ,,1 300 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/ustrichniy-sous-vysshey-kategorii-148-gr/,Нет статуса
Сэнсой Соус Тонкацу 350 г,БАКАЛЕЯ,,2 500 Т,Алматы,https://kingfisher.kz/bakaleya/aziatskaya-kuhnya/sousy-i-pasty/sensoy-sous-tonkacu-350-g/,Нет статуса
